tile,building_id,x,y,w,h,area,avg_r,avg_g,avg_b,cluster,roof_type
CG001_000001.npy,1,200,204,312,308,59856,131.5310411654638,128.01951349906443,127.36056535685645,2,pucca
CG001_000001.npy,2,0,488,40,24,560,211.43571428571428,201.38035714285715,188.79642857142858,1,tin
CG001_000002.npy,1,192,0,72,88,3840,160.51510416666667,142.5890625,124.15026041666667,0,thatched
CG001_000004.npy,1,412,108,100,164,11024,223.98829825834542,218.9973693759071,193.9815856313498,0,thatched
CG001_000004.npy,3,456,368,36,52,1008,156.81150793650792,149.98511904761904,141.12400793650792,0,thatched
CG001_000004.npy,4,504,404,8,12,64,184.90625,179.875,170.609375,1,tin
CG001_000005.npy,1,0,108,512,404,161408,183.34382434575733,180.51897675455987,176.10500718675655,2,pucca
CG001_000006.npy,1,12,0,12,8,80,233.45000000000002,225.22500000000002,212.4625,1,tin
CG001_000006.npy,2,124,0,336,296,61952,194.50445506198346,201.24239733987605,206.75850658574382,2,pucca
CG001_000006.npy,3,0,280,28,88,1312,186.0388719512195,182.2141768292683,181.67149390243904,0,thatched
CG001_000008.npy,1,180,0,284,76,11632,171.26478679504814,164.75292297111417,156.20245873452544,2,pucca
CG001_000008.npy,2,244,344,108,148,9904,133.55038368336028,124.078655088853,109.81946688206786,0,thatched
CG001_000008.npy,3,164,468,64,44,2032,95.47637795275591,101.04084645669292,74.99852362204724,0,thatched
CG001_000009.npy,1,344,380,168,132,12336,167.19657911802852,164.83706225680933,154.85043774319067,0,thatched
